,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32
S012,1.7394654,-3.6454937,1.450102,-1.6312702,1.3536291,0.9448908,-0.718857,0.0956658,1.5098876,-0.10462949,-0.68661785,2.436335,0.4086689,-1.3100959,-3.3128414,-0.61927086,0.23502137,-2.6122966,0.819996,2.8575873,-0.5185201,0.73499364,1.7234917,-0.6702044,0.70889723,-3.0598767,-2.0452201,1.5582836,-0.4009214,-1.2893944,0.053462602,-0.69627833
S013,-1.409906,3.4992745,-1.1245271,0.46484613,-0.37802258,-1.2389959,2.362652,-0.35983503,-1.3656335,-0.53264177,-0.53201574,-2.4102285,-0.07626185,1.1066668,2.8151178,-0.47876602,0.6088966,2.9941883,-0.60381395,-2.6335824,-0.8554822,-0.5694506,-1.2847053,1.722467,-1.1212838,2.5671127,2.7735324,-1.2340677,-0.060427617,1.1977751,1.0436374,1.7377815
S014,1.5428988,-3.3424807,1.1387268,-1.3557348,0.5590308,0.9747553,-0.27461857,0.29705393,1.308001,-0.3977105,-0.3352035,1.9714292,0.5441085,-1.1242961,-3.5599432,-0.16948378,0.7816574,-3.093414,0.9545799,2.603029,-0.5256393,0.8721171,2.3486598,-0.7593378,1.0977992,-2.3896508,-2.5438874,2.116772,-0.2797148,-1.2045698,0.42813993,-1.3110586
S015,-1.5453345,3.501837,-1.243294,0.38317704,-0.38594577,-1.2267928,2.5435967,-0.33299977,-1.2461934,-0.42048687,-0.9308969,-1.7927258,-0.13000643,0.84697497,3.1946483,-0.6704717,0.18457755,3.1339743,-0.1113736,-2.8768198,-1.2167863,-1.2269363,-1.0730224,1.7349522,-1.5289917,2.7756011,2.2938802,-1.1039293,0.6532268,1.2041577,0.6637307,1.9693995
S016,1.7623826,-3.1473663,1.3715199,-1.3022904,1.0555489,1.1065978,-0.44100386,0.3306316,1.1315392,-0.3346673,-0.50554127,2.3221314,0.7789491,-1.264232,-3.7938976,0.039349254,0.42260683,-2.9362657,0.69118714,2.2311099,-0.81662536,0.344172,2.0428686,-0.3921183,0.9419607,-2.9248574,-1.7730498,2.2933674,0.3355735,-1.6368849,0.2634979,-0.4226783
S017,-1.5046605,3.3765364,-1.0209867,0.24058701,-0.6263809,-1.1948289,2.6182244,-0.3884257,-1.2380142,-0.3700202,-0.6568449,-1.8832482,0.08470288,0.8600166,2.7240615,-0.60695785,0.5615879,3.0634418,-0.50007606,-3.1393468,-0.65087503,-1.0271373,-0.9142183,1.675146,-1.3245337,2.6560857,2.5049329,-1.3771071,0.57724625,0.69218975,0.7019324,1.7004721
S018,1.7985973,-3.2702787,1.1604897,-1.1553303,1.1986434,1.187401,-0.50558585,0.28130305,1.6886494,-0.085173324,-0.5488392,2.6557558,0.59598035,-1.5332433,-3.526795,-0.046310488,0.25008544,-2.6712067,0.90058726,2.660517,-0.52841157,0.25852013,1.7979077,-0.7025076,0.8670091,-2.5436895,-2.1820817,2.0069456,-0.18572134,-1.3087084,0.57950944,-0.77482855
S019,-1.653319,3.492364,-0.76699007,0.15558417,-0.47662175,-1.1268235,2.1386862,-0.16924708,-1.1923952,-0.2917313,-0.8924631,-1.9735652,0.1508846,0.8215429,2.8655252,-0.119998306,0.60343087,2.7138443,-0.39859262,-3.163482,-0.7984728,-0.7763845,-0.8252478,1.932572,-1.2816098,2.8277743,2.618806,-0.8322512,0.3887611,0.77274615,1.2699801,2.0956433
S020,1.3232825,-3.1503541,1.0214795,-1.3807086,1.2013248,0.7077831,-0.16252734,-0.18414782,1.2174394,-0.052561253,-0.8299447,2.7844799,1.4828398,-1.4646298,-3.2995183,-0.35115778,0.60048217,-2.4286616,0.6519129,2.5931647,-0.9489573,0.37127173,1.6672795,-0.7010907,0.67858267,-2.9232185,-2.6810029,1.7261295,-0.16646928,-0.8512591,0.5178479,-0.69027555
S021,-1.5255226,3.1316576,-1.2171198,0.52883154,-0.39144772,-1.5141221,2.42278,-0.6364432,-1.6100202,-0.32922387,-0.44216087,-1.7541481,0.13791376,1.0788908,2.7286818,-0.35565138,0.0431779,2.762871,-0.40093255,-3.3942506,-0.93457866,-1.360811,-1.9501386,1.7329694,-1.214475,2.4912574,2.606847,-1.6033269,0.070164815,0.7981449,0.62479657,2.010992
S022,1.839574,-2.9933898,1.408789,-1.9223541,1.7120808,0.9034715,-0.47406766,0.417242,1.357309,-0.5207084,-0.7671137,2.0072865,0.43904194,-1.2386633,-3.340596,-0.65536386,0.20901199,-2.2858868,0.57087135,2.7987053,-0.35485724,0.23141158,1.7464834,-0.47015214,0.93221,-3.1561515,-1.5498849,2.0110192,0.2546646,-1.3338876,0.13068943,-0.86051595
S023,-1.9590334,3.1171412,-1.0640427,0.60303473,-0.55428267,-1.7285846,2.7433524,-0.5679734,-1.2487618,-0.3515351,-1.1948212,-1.9344268,0.09750593,0.98328656,2.9564888,-0.4189433,0.6540214,3.1929586,-0.21939214,-3.2156827,-0.51978725,-1.1116505,-1.5428724,1.8132559,-1.0503844,2.6599047,2.6263459,-1.172576,0.31355667,0.7271186,0.5369257,1.9833697
S024,1.8902005,-3.3505647,1.4852618,-1.3473577,0.8597789,1.1669995,-0.31088933,0.57556486,1.0524659,-0.5137436,-0.10521946,2.2104833,0.08886412,-1.0080007,-3.4623625,-0.4783476,0.13437273,-2.6177416,1.1566806,2.71564,-0.35944727,0.60021096,2.060503,-0.19837494,0.84986633,-2.762462,-2.561025,2.158045,0.011196289,-1.4740849,0.4524752,-1.1482438
S025,-1.4545826,3.363235,-0.84275496,0.1735301,-0.59132814,-1.0528107,1.9347262,-0.32371765,-1.6157016,-0.31816193,-0.5068114,-1.6815869,0.05936161,0.9881888,2.7984128,-0.3271389,0.20092814,2.8846822,-0.059236642,-3.0674427,-1.1177369,-0.88376206,-1.2679033,1.8666617,-1.1609306,3.142499,2.6671617,-0.57815933,0.39433998,0.4240938,0.76221204,1.9786272
S026,1.649518,-3.470689,0.9445794,-1.7941949,1.3582236,1.323429,-0.52506024,0.4363553,1.7968493,-0.37360913,-0.7599819,2.050677,0.1575449,-1.3164611,-3.2793145,-0.13962841,0.14903624,-2.8168383,0.68288857,2.1681757,-0.8797895,0.68853045,1.7894106,-0.25852227,0.9467839,-3.040836,-1.6331794,1.8990251,-0.27978885,-1.4339819,0.23651348,-1.1266494
S027,-1.6733718,3.4258177,-1.0920923,0.053718414,-0.685882,-1.2326319,2.6084774,0.14416574,-1.4838083,-0.5248696,-0.87753606,-1.4733578,-0.053100403,0.55757666,2.7554073,-0.6276653,0.46714637,3.3503516,-0.26809502,-3.0876973,-1.1718355,-1.1708469,-1.5880446,1.6823823,-1.2247972,3.0093708,1.9356905,-1.1118032,0.21404359,1.0625923,0.8882723,1.985514
S028,1.9325428,-3.4288728,1.6453921,-1.5683666,0.9779041,1.5257165,-0.49290696,0.8074438,1.1105207,-0.5474802,-0.19861081,2.0409603,0.44558844,-0.8448145,-3.733071,-0.1708266,0.25090852,-2.7433355,0.93176717,2.6580932,-0.52307785,0.48555085,1.9954572,-0.31229877,1.2120967,-2.7894535,-2.1856835,2.44074,0.27491266,-1.2759501,0.2957523,-0.3565932
S029,-1.9544889,3.6195686,-1.2503392,0.12517348,-0.6201438,-1.1003401,2.420123,-0.07543139,-1.306256,-0.15777996,-0.9241256,-2.2624414,0.61366594,0.98012584,3.0297403,-0.59344447,0.3591311,2.6643937,0.145527,-3.0248835,-0.7349615,-1.316644,-0.8287357,1.4041942,-0.96690243,3.0753136,2.2547755,-0.97599506,0.6752304,0.7602825,0.96711826,2.342152
S030,1.8946828,-3.3536363,1.1286758,-1.5537436,1.1622217,0.8069887,-0.40105328,0.6047641,1.2630103,-0.5564702,-0.7313686,2.4355884,0.83123577,-1.3809322,-3.6067119,-0.26241857,-0.012414578,-2.9695818,0.7445829,2.4057512,-0.49376795,0.2602498,2.096002,-0.45360392,0.87770027,-2.7342546,-1.7458451,2.1249294,-0.059677076,-1.2116225,0.5366522,-0.789713
S031,-1.6573597,3.62727,-0.8120713,0.3820098,-0.8392729,-1.0578551,1.9442322,-0.7988007,-1.2212363,-0.39773172,-0.61958826,-1.8871449,-0.4802291,1.2113614,3.0597527,-0.31011993,1.0301307,2.5714178,-0.23991679,-3.2942288,-0.24860325,-1.5720494,-0.83652574,1.4439682,-0.84900695,2.8226266,2.8460531,-1.0741024,0.11828689,0.9417023,0.98241067,1.8255129
S032,1.9691159,-3.2156818,1.5559608,-1.364404,1.6076505,1.147916,0.08050902,0.42795026,1.5783983,-0.42070013,-0.7211217,2.5540845,0.28120014,-1.2611066,-3.1916637,-0.6351783,0.30271062,-2.729575,1.3169827,2.9746559,-0.18805707,0.24266677,1.8583403,-0.3656427,0.48728713,-2.4207647,-1.9300195,1.9997375,-0.42486593,-1.5836635,0.23577897,-0.4066364
S033,-1.5069561,3.7216158,-1.0793322,0.45808914,-0.6543919,-1.0586047,2.3167787,-0.4989838,-1.2427824,-0.7022725,-0.65018976,-1.852546,-0.27344787,1.2626033,3.0256677,-0.3553886,0.62741524,3.1627693,-0.3788958,-3.3254998,-0.41864708,-0.8782124,-1.138519,1.8323137,-1.2013274,2.9599645,2.505299,-1.2152379,-0.034171674,1.0423825,0.83865225,1.692279
S034,1.3855457,-3.4046147,1.4861846,-1.2969594,1.1084445,0.9800925,-0.5759597,0.7087927,1.649377,-0.34919187,-0.5986354,2.047306,0.9195875,-0.9010055,-3.4843855,-0.6690542,0.44615197,-2.9669716,1.2080175,2.7675462,-0.37917936,0.4636994,1.639687,-0.32425487,1.339981,-2.579059,-2.040701,1.8907421,-0.045356598,-1.3428899,0.36018902,-1.080005
S035,-1.8940836,3.702246,-0.85790783,0.2896244,-0.3607229,-1.004187,2.0868902,0.07584633,-1.2007306,0.029663587,-0.57971793,-1.888709,0.05857453,1.4583567,2.928979,-0.62664205,0.56710786,2.8901656,-0.11721143,-3.088812,-1.0276184,-0.9295692,-0.9987903,1.6774236,-0.7019603,3.1876302,2.2119892,-0.99127793,0.1993126,0.737735,0.6543302,1.4423263
S036,1.7987698,-3.0080192,1.1861056,-1.4759175,1.5502274,1.1980456,-0.4374821,0.3156076,1.5167139,-0.8204089,-0.83749545,2.335986,0.8054866,-1.5225352,-3.562712,-0.4248735,0.09713574,-2.4903455,0.9445601,2.3694384,-0.41197798,0.46912122,1.8803029,-0.561787,0.5201118,-3.1148443,-2.0171103,1.9721229,0.38428012,-1.7849078,0.57728875,-0.83477575
S037,-1.4526609,3.326915,-1.3048462,0.40233254,-0.4839099,-0.9327072,2.3385425,-1.1155615,-1.1150208,-0.74329126,-0.68257457,-1.6981951,-0.25018775,1.6537018,3.1258886,-0.25082937,0.03416144,2.9721808,-0.035983603,-3.3691046,-0.8728087,-0.94063467,-1.3492622,1.2565217,-1.1941746,2.6433458,2.362036,-1.2192112,-0.117322415,0.86959666,0.73532176,1.9303674
S038,1.6574916,-3.1643364,1.5216436,-1.4669855,1.6272161,0.9707481,0.054105658,0.35031736,1.4012537,-0.19148636,-0.8633452,2.0698526,0.3067435,-1.2081934,-3.5693347,-0.5017681,0.38177565,-2.3309968,1.0943854,2.7876186,-0.41054097,0.09267065,1.9299164,-0.58008355,0.70656633,-2.9213064,-1.5869281,2.02534,0.33567256,-1.1870021,0.6123522,-1.01152
S039,-1.7181356,3.501279,-1.2821563,0.13340354,-0.40956643,-0.9621427,2.252524,-0.38618654,-1.2392585,-0.17097178,-0.6656988,-1.6806142,-0.023532715,1.1562228,3.108378,-0.8055422,0.3423003,3.3234346,0.038813893,-3.030326,-0.96015215,-0.9595961,-1.2262484,1.5909215,-1.2981145,3.01914,2.3492422,-0.8506174,0.22395949,1.0235147,0.65356565,1.6398491
S040,1.8717216,-3.3685813,1.5282274,-1.4752344,1.0589583,1.2816947,-0.35936886,0.76910365,1.4228742,-0.25508144,-0.53666943,2.0166268,0.22998372,-1.0871207,-3.3895376,-0.18176973,0.0810681,-2.7419674,1.3971004,2.689244,-0.31201017,0.6817706,1.7932985,-0.30366263,1.0225577,-2.8926675,-1.9557383,2.0628893,-0.40596965,-1.3822141,0.3157606,-1.1120392
S041,-1.567152,3.5187564,-0.98854387,0.23965672,-0.69357395,-0.9991349,2.1450415,-0.48308194,-1.3378958,0.048126906,-0.53113306,-1.6556553,-0.22413859,1.1060954,2.9342995,-0.26402962,0.4206468,2.9569592,-0.18818669,-3.3736424,-0.5026748,-1.4386132,-1.4608257,1.9558684,-0.7127518,2.5923545,2.5473335,-1.069675,0.29483172,1.207466,0.5875077,1.5905224
S042,1.1800436,-3.2170074,1.0072364,-1.0979899,1.3206649,1.4989604,-0.14431556,1.2323035,1.1476581,-0.8940117,0.024818817,1.579542,0.65302634,-0.6582574,-4.084093,-0.33077568,0.07704444,-2.7896516,1.1539242,2.5325344,-0.076865405,1.1799395,2.0220678,-0.32638633,1.0696976,-2.754936,-1.6743019,2.0265718,0.054809738,-1.8239431,0.24670745,-0.8281797
S043,-1.7662452,3.6290545,-1.1336924,-0.06025997,-0.047771472,-1.0680043,2.0035,-0.139362,-1.3706414,-0.35230494,-0.4253688,-1.7247602,-0.26137426,1.4655963,3.0666857,-0.47792727,0.33486152,2.327181,-0.07579748,-3.128318,-0.8058829,-1.0294964,-1.4059067,1.5519445,-1.3567289,2.9747405,2.59827,-0.6790781,-0.16648383,0.878811,0.41399044,1.8802779
S044,1.5179425,-3.164895,1.2838145,-1.257217,1.5424993,1.115627,-0.45286027,0.415307,1.2656833,-0.3329808,-0.57168853,2.2406979,0.2919877,-1.3007926,-3.7427087,-0.69843227,0.10440652,-2.759394,0.6710554,2.8110898,-0.5752423,1.1538267,2.1103978,-0.36879978,0.7956582,-2.5228987,-1.6728024,1.8137655,0.13185646,-1.2574363,-0.07063022,-0.6349849
S045,-1.5296726,3.5788002,-0.4792264,0.51580137,-0.5721394,-0.61000556,2.157799,-0.6370975,-0.93836254,-0.45944953,-0.51764774,-2.0862737,-0.61947614,1.2030851,3.315494,-0.23672067,0.6973291,3.0601976,-0.30755407,-2.8214242,-0.1634364,-0.6998633,-0.6393618,1.8014212,-1.0588144,2.2823408,2.691089,-1.4063201,0.13270277,0.8981802,1.3184515,1.2202629
S046,1.7795326,-3.1013098,0.99556303,-1.354507,1.3249236,1.2978419,-0.6058245,0.6545267,1.2078956,-0.6176874,-0.85078377,2.0655694,0.18626332,-1.099742,-3.7994986,-0.5713716,-0.1758268,-2.60859,1.1884106,2.706662,-0.18836538,0.64480317,2.1364317,-0.28849846,0.6931327,-2.6759248,-2.1536138,2.1914475,0.076972604,-1.717903,0.34442478,-0.94468546
S047,-1.6591085,3.677758,-1.2920786,0.41346362,-0.48258042,-0.98006976,2.585845,-0.21574627,-1.0510454,-0.531936,-0.84389013,-1.6483545,0.26938373,1.524218,2.8272614,-0.5018164,0.19833653,3.2969866,0.18074775,-3.1365495,-0.658676,-1.014519,-0.9589677,1.6873704,-0.89722663,2.853831,2.3439567,-0.9997555,0.25474703,1.2805243,0.54243386,1.7310531
S048,1.8228189,-3.12227,1.7022316,-1.5423956,1.3283533,1.1195807,-0.13323347,0.28744358,1.319273,-0.86670303,-0.44884774,2.289163,0.25702396,-0.7996131,-3.602585,-0.68285847,0.17071515,-2.6495583,1.3496734,2.5194042,-0.38852414,0.60226613,1.7961507,-0.1684471,0.72861046,-3.110022,-2.0399668,1.7674642,-0.081439406,-1.4569439,0.60398525,-1.2095282
S049,-1.3788539,3.2210305,-0.8948138,0.07543512,-0.46611527,-1.1260749,2.2724025,-0.32243192,-1.2423282,-0.029839424,-0.856122,-1.9366022,0.19936126,1.4197398,2.8213491,-0.4793827,0.58282954,2.8840067,-0.5325266,-3.19122,-0.7593514,-0.9461177,-1.3765267,1.5206593,-1.081658,2.5233371,2.7810163,-0.7410594,0.54706,0.85789335,0.8021941,1.6263193
S050,1.7079744,-3.1233528,0.91595745,-1.6400253,1.7374687,1.3341393,0.004076305,0.83592033,1.2407811,-0.2632025,0.02696835,1.9521377,0.3585656,-0.83232856,-3.7807553,-0.18713303,0.41251922,-2.455063,1.125687,2.1906617,0.034890097,1.3417253,1.7666619,-0.33382165,0.81255794,-3.032852,-2.0646799,2.3711538,-0.027304862,-1.5091555,0.21247931,-1.1786693
S051,-1.4714473,3.54688,-1.8853246,0.4699402,-0.6036527,-1.2073004,2.0469468,-0.26731724,-1.1878783,-0.044918746,-0.74025494,-1.7217022,-0.13105002,0.85132474,3.1506648,-0.5308737,0.51148134,3.32304,-0.4478353,-3.2442496,-1.0535829,-1.2156596,-1.4181321,1.105479,-0.8715275,2.886782,2.102825,-0.6442447,0.8061267,0.40247312,0.6884543,1.4877489
S052,1.416927,-3.0068967,1.0398203,-1.0536318,1.507895,2.0100613,-0.44099632,0.6904405,1.1838241,-0.56756765,0.15720056,1.3649515,0.62026584,-0.9398487,-3.824655,-0.7084629,-0.12914713,-2.2536051,1.1629028,2.4146514,0.17008014,0.88067836,2.1003804,0.15658663,0.4803199,-2.2806756,-2.2426898,2.3149433,0.20030303,-1.9713902,0.38477302,-0.7815547
S053,-1.7238637,3.4727957,-1.1360466,0.1843306,-0.09707491,-0.91954166,2.5414696,-0.61009634,-1.0810049,-0.23687887,-0.56148475,-1.9436808,-0.49344155,1.0575329,2.903418,-0.6591547,0.4950074,3.165609,-0.30464458,-3.0074751,-0.43169624,-0.68631905,-1.1584079,2.0033195,-1.0532928,2.6605403,2.5681746,-1.3455873,0.024869192,0.81959194,0.7708929,2.0160582
S054,1.4956967,-3.065509,0.7432556,-1.4327395,1.7382197,1.4200348,-0.7654318,0.24023826,1.1581645,-0.40747052,-0.33968142,1.9388996,0.44993326,-1.3017315,-4.3171887,-0.54817593,0.25757498,-2.280819,0.64843,2.2946336,0.19177812,0.6182737,1.9959784,-0.6346937,0.92092407,-2.747041,-2.3705857,1.6326749,-0.35714042,-1.4754505,0.26877153,-0.99004066
S055,-1.1025878,3.4292965,-0.92003846,-0.28915286,-0.44149417,-1.2792513,2.0735655,-0.21613221,-0.75559604,-0.18186611,-0.770116,-2.364142,0.36770564,1.0459828,2.7580602,-0.30415845,0.74184823,3.0416358,-0.71632475,-3.0234282,-0.5915389,-0.5496536,-1.2920579,1.6663306,-0.9574051,2.9228404,2.4890466,-0.6391757,0.34844112,0.7535383,0.65111333,1.6294473
S056,1.7487868,-3.5846431,1.2028124,-1.507233,0.764687,0.69939613,-0.27785653,0.9113407,1.6706246,-0.05503419,-0.88190895,2.1511571,0.07744753,-1.439468,-3.2569752,-0.43914282,-0.15879281,-3.1477537,0.8975984,2.5122526,-0.7138078,0.39626995,1.7369018,-0.52976954,0.53207153,-2.3958213,-2.0584786,1.783961,-0.20756061,-1.976203,0.07150817,-0.8378899
S057,-1.8646688,3.790472,-0.9983867,-0.00043668173,-0.16038086,-1.0436532,2.1862957,0.089195624,-1.1699198,-0.48242974,-0.7748484,-1.7680634,-0.10349658,0.8260961,3.0617142,-0.68429863,0.38744867,3.1720889,0.060582493,-2.6215804,-0.6641123,-0.55531263,-0.7400186,1.7535706,-1.4028357,2.7808383,2.3332117,-0.68570065,0.18569958,1.0712833,0.32697648,1.9597417
S058,1.5498327,-3.5424802,1.2657771,-1.2966212,1.6619992,1.248941,-0.35947642,0.8278183,1.4864231,-0.77775997,-0.30771676,2.3094952,0.9269552,-1.2529488,-3.5279164,-0.24824296,0.3249029,-2.917755,1.0035707,2.440778,0.06477955,0.5978596,1.8005798,-0.35269052,0.899056,-2.4742138,-1.9522184,2.255069,0.22222243,-1.3772732,0.38468075,-0.79991996
S059,-1.5479577,3.2631137,-1.5753988,0.15153,-0.669364,-0.82211745,2.3021474,-0.45895284,-1.030614,0.07066293,-0.87512314,-1.973011,-0.43747672,1.5816033,3.0575047,-0.4081206,0.1471471,2.8810449,-0.28399596,-3.0386045,-0.9487299,-0.8551882,-1.081117,1.7803448,-0.7804827,3.0221035,1.8828075,-1.1890345,0.567546,1.095638,0.6732992,1.3570453
S060,2.1365132,-3.029373,1.3072861,-1.7041476,1.5119601,0.8173899,-0.03414042,0.24206178,1.2973945,-0.089829326,-0.6279293,2.1463587,0.122056514,-1.1189972,-3.6279123,-0.82435226,0.24002272,-2.8665125,1.0705839,2.9787405,-0.41727874,0.8972968,2.068583,-0.5749724,0.4445747,-2.9386375,-2.0610354,1.8082188,0.07631566,-1.4744496,0.1266731,-0.99354327
S061,-1.9041007,3.2861478,-1.1852822,0.54049855,-0.92553043,-0.8637806,1.9809701,-0.7710156,-1.2903227,-0.4143727,-0.66336286,-2.1422205,0.027743462,1.3598865,2.786603,-0.6389862,0.82067364,3.148618,-0.15055741,-3.3091793,-0.629077,-1.0572858,-0.91241765,1.0795237,-1.1721601,2.878125,2.7695372,-1.0213492,0.6274845,0.41971686,0.627674,1.8171322
S062,1.3895928,-3.2201629,1.1231521,-1.2272058,1.4201077,1.3233622,-0.2763968,0.9629272,1.9138968,-0.25103396,-0.69508773,2.0139306,0.6488856,-1.3037032,-3.3463116,-0.12698612,-0.010164294,-2.7595868,0.9757975,2.525162,-0.3682327,0.14592135,1.3393252,-0.32012212,0.76866305,-2.8316453,-1.4462185,1.9970322,0.094440356,-1.1704794,0.48006737,-1.367339
S063,-1.3917986,2.8636749,-0.7709231,-0.0030925306,-0.30012536,-0.9165644,2.1206515,-0.81262636,-0.5979608,0.117940724,-1.0715649,-1.7426319,0.2523592,1.0092437,2.6924639,0.24932937,0.7636826,3.3799028,-0.48681217,-2.84739,-0.95332015,-0.7423124,-1.1268874,1.5465757,-0.982946,2.515941,2.5783525,-1.2540624,0.64218795,0.8569477,0.9875324,1.4396652
S064,1.5525403,-3.372259,1.455631,-1.6101608,1.027745,0.9412813,-0.104067475,1.1169198,1.8238983,-0.75855714,-0.63779765,1.8909281,1.171949,-0.98452634,-3.0943162,-0.10270113,-0.24075414,-2.9171455,1.0638539,2.307356,-0.90115064,0.058392912,1.4428748,-0.17959197,1.3191975,-2.911584,-1.8760431,1.9079717,0.035628904,-1.4045951,0.823498,-1.0357696
S065,-1.498778,3.4654207,-1.4156553,0.5543888,-1.0378331,-1.3500974,2.5401912,-0.58393514,-0.71710736,-0.5599841,-0.5597443,-1.4021171,-0.51284844,0.95669484,2.6900504,-0.63394326,0.38009596,2.9807334,-0.25828686,-3.34631,-0.4374549,-0.6873421,-0.7464566,1.7380286,-0.9152381,2.4263356,2.7675192,-1.0608535,0.45713264,1.0448098,0.6460863,1.817234
S066,1.9232848,-3.2510664,1.444117,-1.6081728,1.2351983,0.8360393,-0.547285,0.9258183,1.3915427,-0.03239578,-0.78637654,1.895333,0.12377359,-1.1743,-3.249022,-0.38467726,-0.06412335,-2.8926272,1.0780222,2.559759,-0.49244288,0.7374993,1.650987,-0.15305589,0.8682361,-2.6562927,-1.8088163,1.7140701,-0.15336858,-1.19227,0.66949373,-1.1088268
