,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24
S028,-1.736834,-2.661253,1.6625836,-2.3656545,1.0917501,0.39040208,-1.4750797,-0.54070807,1.5254896,0.22691093,0.5066598,-1.9903802,-3.83283,1.0772624,-1.9214103,1.8642404,0.030222833,-2.141431,0.3032579,-0.72061753,0.74990094,1.1146237,2.3987622,-0.44446093
S029,0.43178862,1.7758704,-1.501761,2.0323842,-2.6604764,0.76235634,2.8666139,1.9152004,-0.396207,0.5484975,-0.97306806,0.71464586,4.680007,-0.37553394,1.5471743,-1.2516346,-0.053861722,2.8843277,1.0627395,0.5625915,0.004113704,-0.12664956,-1.5667063,0.51470107
S030,-1.8210137,-2.2195694,1.9395363,-2.2382743,1.4819331,-0.5388313,-2.7715867,-1.3931509,0.15912843,0.81729156,1.1707023,-0.82408553,-4.10364,0.8946254,-1.590265,0.7698284,-0.4133165,-2.2096977,-0.30028644,-0.6329916,1.2122087,0.47454908,1.690002,-1.0732043
S031,0.029451076,1.2728993,-0.49671254,2.1648479,-3.1635454,1.3905948,2.8356502,1.5127298,-0.54514104,-0.92405283,-0.4768929,1.5288938,4.157075,-0.7031695,1.5647365,-0.64699316,0.7123837,2.322388,-0.30757698,-0.43282452,0.5406848,0.6738609,-1.3151377,1.4016728
S032,-1.774585,-1.5209073,2.1412222,-1.5077873,1.3614519,-0.49415827,-2.1431222,-2.483359,0.93036455,-0.023655985,1.4064951,-1.0833608,-3.70354,1.720034,-1.5893857,1.1659284,-0.2760424,-2.5424922,-0.33067426,-1.8272942,0.9161174,0.6378098,1.8852288,0.23230964
S033,0.40560064,1.5619625,-1.3842592,2.2840421,-2.6798995,0.730204,2.9925256,2.0749238,-0.22104472,0.26061353,-1.2196909,0.87845206,4.780759,-0.7322325,1.5415292,-1.1007195,-0.13593137,3.003391,1.0185167,0.3694037,0.04198152,0.30545777,-1.5093902,0.6147362
S034,-1.4797215,-1.6873857,2.267722,-2.1615365,0.95767546,-0.7470564,-2.058581,-1.1440908,0.906217,0.65139204,1.4883296,-1.0309782,-4.1281,1.2011242,-1.364886,1.3744456,0.44385278,-2.1943424,-0.116805084,-1.8866491,0.78180224,0.6234905,1.820944,-0.21646544
S035,0.32264596,0.58506614,-1.2149341,2.8739204,-2.9317868,0.9115303,2.5246603,1.7423378,-0.73644125,-0.6963481,-1.138196,1.1923206,4.0985694,-1.025013,1.5832738,-0.82816076,-0.22230482,2.4693646,0.6576939,0.30498594,-1.0017943,0.29682547,-1.7211083,1.5511087
S036,-1.443106,-2.2011256,1.103821,-1.8940138,1.1938289,-0.9685815,-2.062713,-0.009877797,0.3389633,0.37431276,2.8029,-1.590146,-4.5873394,0.8028765,-2.2033865,1.225606,-0.08172648,-2.3139026,0.018133977,-0.9419101,0.015653417,0.41425827,1.3809899,-0.49523756
S037,0.4214642,1.263249,-0.9974784,1.582828,-2.0194354,-0.37360412,2.6368682,0.64247847,-0.16793254,0.91223484,-0.6588109,1.601905,4.191723,-1.1783667,0.9850054,-0.45064324,-0.06209065,2.2709982,0.07362567,-0.36322764,0.12496579,0.808538,-1.1037484,0.7039761
S038,-1.5452313,-1.5803255,2.1197593,-1.830984,0.52343947,-0.076947846,-2.5625196,-1.2264403,0.6764204,0.14632896,2.0513546,-0.79798853,-5.0592866,0.8682235,-0.840587,1.2836859,0.09719549,-1.6403295,0.38556167,-0.83000696,0.5772134,0.43358052,2.6034405,-0.77111715
S039,0.28092188,2.2058034,-0.7068252,1.4253594,-3.3179386,-0.041524045,2.3534162,1.6678876,0.8966699,0.10235822,-0.89966923,1.8530713,4.4363556,-1.086905,0.97747874,-0.6358739,-0.22006033,1.6945933,0.6276531,0.38288003,0.26683044,0.41103205,-0.8363309,0.04991717
S040,-1.2916336,-1.6781076,2.4574015,-1.5952497,1.1102916,0.38841856,-2.6192665,-0.6413949,0.40353894,0.18359226,2.4314737,-1.191559,-3.9922893,1.3334292,-1.1871219,2.1185713,1.0222425,-2.1605773,-0.59085995,-1.4317268,0.63337463,0.6863092,1.9049757,0.056573458
S041,0.34091824,2.049841,-1.5001142,2.1578217,-2.1529336,0.38531297,2.7325199,1.2910372,-0.30663696,0.04331515,-0.84482205,0.80103755,4.252224,-0.8803434,1.9319558,-0.507288,-0.41837448,2.3587012,0.75019354,0.5239051,-0.38430503,-0.022739042,-1.5389344,0.64056975
S042,-1.3067051,-1.3049147,2.565577,-2.231644,1.5476508,0.16468728,-2.6219716,-0.3661873,0.22606158,0.014494117,1.5612359,-1.0894948,-4.50056,1.0927389,-2.379807,1.7291856,0.69138163,-1.9316162,-0.24615131,-2.1350799,1.1186132,0.8267448,1.4812452,-0.9548761
S043,0.33116588,1.5408738,-1.5971785,2.8709853,-0.9222918,0.56509393,2.2947917,0.93274975,-0.37116435,-0.557682,-0.5565011,1.0784767,4.0785537,-1.0582076,1.7114397,-0.7769172,1.2257214,2.2954936,0.44824678,1.38384,1.284552,-0.22960135,-1.4763424,0.2065773
S044,-1.3566345,-1.7229655,2.2410219,-2.4940765,1.4669833,-0.13870429,-1.6657935,-0.7408833,0.97595745,0.55201775,1.1502092,-0.84241474,-5.1456904,1.2090222,-2.0786176,1.758574,0.28161085,-2.171774,-0.2033836,-1.2321743,0.62466973,0.8139842,2.2528107,-0.5416214
S045,0.1062963,1.5757047,-1.234008,2.3527071,-3.12719,0.52915025,2.4148424,1.5274755,-0.47945458,0.05260445,-1.5771486,1.0586749,4.821527,-0.47253627,2.1272888,-0.8630141,-0.18718155,3.0375612,0.88465524,0.5758949,0.23270494,0.14803039,-1.0804683,1.4709674
S046,-2.21327,-2.1504698,1.8100467,-2.5729563,0.82082134,-0.19350007,-0.5435911,-1.917148,1.2820985,0.75605005,0.8816746,-0.8702442,-4.434171,0.5407512,-1.8732584,1.7881455,-0.082782224,-2.580628,-0.912164,-1.6365954,1.121421,1.4795281,2.1397743,-0.2088876
S047,1.0599096,2.0284097,-1.1435446,2.1890507,-2.2620661,0.75491536,2.7216992,1.5978132,0.2128858,-0.2793546,-1.2453461,0.8233244,4.8544607,-0.26504648,1.8216908,-0.8486365,-0.53660506,2.321931,0.70888466,0.21568172,0.50577617,-0.14371458,-1.5103077,0.82326573
S048,-1.443801,-1.5012499,1.6956501,-2.2312033,1.0322678,0.2937521,-1.6424974,-1.1226342,0.6712673,1.3262141,1.8327181,-0.6081352,-4.2209425,0.5682095,-2.1618218,1.6632831,0.4884901,-1.8941209,-0.029790832,-1.9094743,0.09232706,1.7583894,2.3275168,-0.30134258
S049,1.0021188,1.1638131,-0.8136706,2.1538465,-2.2411447,0.9356572,3.1146688,2.5206833,-0.027986065,0.13901594,-0.7546348,1.6133488,4.578865,-1.2662791,1.5943,-0.54528034,-0.76252526,1.9891531,0.034548923,0.18842746,1.0526463,0.77597755,-0.38305724,0.31591466
S050,-1.4375395,-1.9190333,2.0228798,-2.0035949,1.4537115,-0.23743233,-2.2439897,-1.3215429,0.32100362,0.26284412,1.4456732,-0.80755126,-4.640948,0.71970206,-1.527673,1.8922665,0.58364576,-3.087384,-0.69833004,-1.5381265,0.269943,0.6896898,2.0465019,-1.0089148
S051,-0.55203825,1.4470767,-0.76406974,2.4370677,-3.5501127,0.42545906,3.37031,0.8971209,-0.5840652,1.4208673,-0.20780271,1.4924854,3.3592105,-0.5835599,1.0267352,-0.61213857,1.1340992,1.614824,-0.37063977,0.12710764,0.52651215,1.074178,-0.50889826,0.5704605
S052,-1.2560499,-2.022799,2.8035288,-1.7672789,1.2812495,-0.14878747,-2.356027,-1.6293665,0.9656097,0.5610506,1.3466651,-1.538347,-3.8725398,1.8121707,-1.9175546,1.5910193,-0.0019741356,-1.6582966,-0.08068566,-1.7569088,0.5568943,0.8323647,1.6488122,0.055809386
S053,0.4705248,1.3792859,-0.4675872,1.937953,-3.645879,0.9757468,2.6840289,1.1807042,-0.2468493,-0.29342914,-1.5617901,1.361812,4.296665,-0.31307107,1.4889181,-0.0401673,0.21115725,2.8200884,0.23244108,0.3040034,0.25931746,0.55265796,-0.9593786,1.1114032
S054,-1.6425817,-1.6184416,2.1041982,-1.7615769,0.5693878,-0.40359193,-2.182538,-1.1372176,0.90694964,0.6205919,1.5035509,0.36338943,-4.543021,0.85348594,-1.2917985,2.349219,0.8085815,-2.6390915,-0.6683887,-2.255307,0.4176622,0.8507856,2.6531897,-0.8717026
S055,0.87314343,1.3085064,-0.15787658,2.6774733,-2.5345268,0.2470882,2.790518,1.8474528,-0.5881062,-0.3009046,-1.0090175,1.9135474,4.3307753,-1.4125636,1.5909669,-1.3053569,0.0017422885,2.0666168,-0.8504676,-0.1956659,0.44547838,0.03674827,-1.2684017,0.42987627
S056,-0.5428255,-1.5844325,2.1700017,-3.0047083,1.3567977,-0.3437104,-1.9554931,-1.1150261,0.18314987,0.12703931,1.1106815,-0.9736531,-5.0582576,0.9333882,-1.4290144,1.8480071,0.41202646,-2.9931881,-0.4644645,-1.5141671,0.925555,0.74849886,2.2294831,-0.43590462
S057,0.18459874,1.2106352,0.10294191,1.980332,-2.9430153,0.26395243,2.8494766,1.5155156,-0.047146447,-0.15202886,-0.7336728,1.02608,3.8865123,-1.5520823,1.3021374,-0.45010018,0.7298488,2.4763553,-0.2665265,-0.3365499,0.9344088,0.6684583,-0.7999941,0.8944934
S058,-1.8089507,-2.6824067,2.234528,-2.0834138,1.3478593,-0.35504,-2.2587626,-1.5805314,0.9207604,0.49337253,1.6284113,-1.2938265,-4.787572,1.3670958,-1.8844947,1.2715194,-0.09256631,-2.4327772,0.02258213,-1.4915881,0.6615061,0.54170316,2.1824136,-0.7021461
S059,0.33190852,0.60684305,-1.8793762,2.9833577,-3.140224,-0.11357679,2.7008576,0.12897626,0.61033565,1.1372352,-0.6960868,1.0317041,4.08508,-0.8696786,1.2496495,-1.1880239,0.42338216,1.857681,1.0453631,-0.27639857,0.0033767298,0.1389012,-1.0639871,0.94661516
S060,-1.265972,-2.3182466,2.6603024,-1.9199104,1.2744731,-0.3031916,-1.8048514,-1.5799223,1.6912987,0.25022015,1.3723409,-1.830948,-3.379065,1.6632622,-1.8414898,1.5098829,-0.12317428,-2.2622106,-0.56967986,-1.8228191,0.699679,0.8102963,1.687039,-0.089076184
S061,0.334602,1.0172015,-0.60442424,2.4525728,-3.5365949,1.2702096,2.0508914,1.8793288,-0.36414006,-0.46790496,-1.1740662,0.6521357,3.9745998,-0.6421231,0.36326835,-1.0836736,0.07963811,2.9886012,1.0213064,0.12215652,-0.25088325,0.6629278,-1.435588,1.1454397
S062,-1.238086,-1.9092678,2.355475,-2.2026565,1.643023,-0.13946831,-2.7602787,-0.86724156,0.3233821,0.09421247,0.68499565,-1.2817534,-4.700511,0.7742739,-1.7875848,1.1594194,-0.07459274,-2.7220848,-0.34851032,-1.0500623,1.2001957,0.030874621,2.6099339,-0.3917267
S063,-0.20128787,-0.21502706,-1.6340452,2.712231,-2.2610643,0.91275424,1.9792081,2.9292734,-0.26530075,0.14941733,-1.5342528,0.11162102,3.1628685,-1.1203208,0.88905454,-0.98706675,-1.0378158,3.0526419,0.9888428,0.5026197,-0.2305677,-0.06293462,-1.3213955,1.7782944
S064,-1.9795655,-2.0244381,2.4049253,-2.0301363,1.9879858,0.2668263,-2.1717079,-0.9712552,1.0642154,0.3262913,1.3496687,-0.91465163,-4.2691464,0.97715914,-1.6854215,2.0496476,0.40808964,-2.014224,-0.46209896,-1.4049754,0.73465914,0.7050936,2.3194127,-0.40906873
S065,0.508289,1.0360031,-1.0667896,2.6652339,-2.8088343,0.8307018,1.9765552,2.1976616,-1.1688901,-0.6713878,-1.4456172,-0.23873395,3.3529866,-0.59115684,1.1281003,-1.1092981,0.010927498,2.886655,1.3541033,1.3035785,-0.095712766,-0.3335401,-1.2288762,1.205415
S066,-1.4950402,-2.2681596,1.4466472,-2.1253157,1.3479102,-0.30500358,-2.4802403,-1.0757359,0.40599427,-0.18871948,0.5804191,-0.77835584,-4.4220915,1.3042312,-1.7100668,1.5063883,0.27043217,-2.672897,-0.4538578,-0.98969954,0.20411193,0.36431906,1.9451331,-0.13355848
S067,-0.1699472,0.07112568,-0.020063268,2.9017284,-2.9494944,1.244732,2.2862263,1.911283,-0.21255246,-0.96305686,-0.4684084,1.8101199,3.8134012,-1.7150596,1.5255034,-0.90338695,0.8846571,2.660092,0.18685558,-0.4846836,1.2767806,-0.018882353,-0.89419276,1.4484056
S068,-0.9593512,-2.1060545,2.0700657,-2.597799,2.1670306,-0.11196091,-2.204055,-1.5951755,0.53800315,0.20780477,0.9696828,-1.2676274,-4.129425,0.18527012,-1.0796063,1.120466,0.25235164,-2.8548386,-0.64323837,-0.9794647,-0.13589498,0.48553702,2.4235668,0.42770892
S069,-0.011139903,0.7325023,-0.9212815,2.4086382,-2.7959697,0.8122825,2.85314,2.498722,-0.13432449,0.22625022,-1.430191,0.91996086,4.464496,-0.67232615,1.210996,-0.99032474,-0.047973096,2.8486593,0.5616233,0.1397487,0.25838697,-0.111089736,-1.4238464,1.4888614
S070,-1.0007515,-2.5599165,1.9179676,-2.7608054,1.6039846,0.28675848,-2.3583128,-1.4951566,0.1865294,0.6946674,1.0742714,-1.2925984,-4.7477164,1.052048,-1.6504245,0.51160043,-0.09265506,-2.0804908,0.14536843,-0.96265936,0.9457655,1.1900953,2.0112133,-0.07675462
S071,0.020384144,0.70305365,-1.1254255,2.4915903,-3.4401972,1.008142,2.1702895,2.0972083,-0.85987914,0.19594574,-1.1265134,0.736881,3.5894175,-0.90665483,0.47481814,-0.49804676,0.4364553,2.342982,0.7538135,0.08678011,0.5376992,-0.46068695,-1.2416401,1.8431504
S072,-1.2132988,-1.9591349,2.7567306,-2.3509738,1.7320096,-0.21008602,-3.4482403,-0.44122192,0.2027106,-0.18837664,1.4715712,-1.4076674,-4.582899,1.1834252,-1.8477271,0.9266069,0.38147604,-1.9360516,0.030134754,-0.74210066,0.6278108,0.7353207,2.3779817,-0.74582857
S073,-0.025687788,0.92125803,-1.4072447,2.176283,-1.9790808,1.0245141,2.3092833,2.0250354,-0.84685314,0.39757058,-1.5856748,0.5495932,4.1324496,-0.29986146,1.7900121,-1.0642788,-0.7884985,2.467766,0.32978967,0.9459049,-0.037367746,-0.2365524,-1.6314329,1.4199405
S074,-2.0299628,-1.6585089,2.2193441,-1.6643597,1.1674923,0.9067264,-1.888548,-0.75749665,0.8797392,-0.17853236,1.4572439,-0.8848526,-4.6852784,0.8011159,-1.8351357,1.6424849,0.077230856,-2.8545063,-0.55574083,-0.8934859,1.1529117,0.56528634,2.3565478,-0.0031464621
S075,-0.28782597,1.225942,-0.91977435,2.494956,-3.5800896,0.49663597,1.9522898,2.1652348,-0.19669968,-0.28320098,-1.4705312,1.2240878,4.004633,-0.6637398,1.2006643,-0.8364622,0.02588597,2.6486204,0.15428777,0.5722326,0.30478755,0.65327024,-0.8524812,1.7785996
S076,-1.1433185,-1.7486544,2.2086725,-1.9559984,1.3016603,0.061978675,-2.591493,-0.8319404,0.49869534,-0.021610904,1.1743083,-0.8122357,-4.7604294,1.2462007,-1.7396393,1.2762668,0.34244752,-2.9128006,-0.04322493,-1.1465088,1.2199507,0.63538736,2.13526,0.29455996
S077,0.28107572,0.37674224,-2.5873873,1.7444462,-1.4035769,1.7049205,2.1810057,2.8508227,-0.14606258,-0.66172695,-1.6863664,-0.41640216,4.437756,-1.4573886,1.716418,-0.9131645,0.11384188,2.525644,0.1282492,0.98413706,1.2703886,-0.5161647,0.6748837,0.70992404
S078,-1.8716245,-1.8681701,1.9627422,-1.5481037,0.37082237,0.29346442,-2.5637627,-0.26551208,0.8088814,0.17850053,0.427522,-0.99884653,-4.449048,0.92513454,-0.9357878,1.8522971,0.40573812,-2.9068048,-0.41212037,-1.3691156,0.5433016,1.3017423,2.8882089,-0.1656416
S079,-0.18883145,1.0877868,-1.1157186,2.5005906,-3.0844529,0.99498945,2.1359766,2.2625725,-0.7583254,-0.22845936,-1.5072817,0.33393624,4.035078,-0.26008725,1.2087935,-0.6892986,0.024150103,3.4019105,-0.09258206,0.61512715,-0.21976641,0.5803527,-1.6575208,1.3242495
S080,-1.0809405,-1.151927,2.2936914,-2.4885485,2.0066965,0.60296875,-2.0015075,-1.1429533,0.19916716,0.887119,0.64516205,-0.35326818,-2.9793463,0.6848645,-1.1164358,1.475761,1.1463928,-2.5313194,-0.93844986,-2.1602552,1.755486,-0.039849434,1.867799,-1.2905128
S081,0.25279808,1.3171192,-0.6526868,2.2890108,-2.8304632,1.1947545,2.1768208,3.1454585,-0.32763124,-0.1046748,-0.8677399,0.92615217,4.541506,-0.9118856,1.2346579,-0.6379469,-0.36718488,2.4904368,0.86264646,0.30701736,0.14673124,0.31467637,-0.9762111,1.4599003
S082,-2.5282872,-1.3146375,2.3606417,-1.7095605,1.2373333,-0.014093049,-2.284279,-1.9693952,1.3645751,0.031923477,0.575085,-0.63947934,-4.3158617,1.2887847,-1.0258925,1.8535966,-0.020274665,-2.0969188,-0.84611285,-1.3078251,1.3429344,0.7110227,1.951055,0.005155511
S083,-0.37872875,1.164352,-1.271394,2.1769445,-2.8055723,1.1888574,2.086583,2.5976532,-0.42368415,0.10029328,-1.5445397,0.8890021,4.549917,-0.554562,1.3882308,-1.0170491,0.5113782,2.9198163,0.6268234,0.47132528,-0.18255726,0.20205913,-0.40877387,1.4869064
S084,-1.4091213,-1.8879955,2.214904,-1.8646691,0.6854274,-0.15276387,-2.0423045,-1.3921003,0.746069,-0.014341865,0.72054195,-0.8975357,-4.6597652,0.88033247,-1.3644785,1.6986272,-0.2585562,-2.237913,-0.16289036,-1.4872043,0.622428,0.578281,3.0021014,0.2091071
S085,0.9792974,0.9636413,-0.041238256,2.3063054,-2.1829956,0.8601569,2.863269,2.5483882,-0.90664065,0.4564906,0.045527756,2.0189238,3.4145074,-2.8544614,0.27165806,0.22597979,0.45496732,1.6248671,-0.24065465,0.79278284,0.21596211,0.5858668,-0.31149626,-0.11186055
S086,-1.375382,-1.8933737,2.2718298,-2.4103,1.221597,0.081420206,-2.9865372,-0.83438504,0.15644562,0.12505457,1.021252,-0.6874276,-4.4785795,0.6478753,-1.6575236,1.7051966,0.29935312,-2.3182573,-0.36351535,-1.6221684,0.9474013,0.80768806,2.756287,-0.14078414
S087,-0.16804443,1.1505773,-0.669748,2.1884637,-2.0681152,1.6279774,1.7007893,3.1468947,-1.2509223,-0.39100656,-1.7624428,0.39143372,4.649169,0.27515718,2.2783377,-0.5923082,-0.8399817,2.6069167,1.1306049,0.91999006,-0.76931655,-0.05290583,-1.3494853,1.1218468
S088,-1.5972023,-1.282108,2.4847057,-1.8189677,0.8643934,0.16147196,-1.4988493,-0.79073995,1.1129695,0.3495101,0.8177478,-1.0107157,-4.98693,1.4589145,-1.4234686,1.3421664,-0.05887772,-2.7817867,-0.15652142,-1.5325841,1.9388206,0.596819,2.205434,0.21562862
S089,0.9030689,1.7308689,-1.2362361,2.6547413,-1.7790054,0.28326645,2.693659,2.1731856,-1.3933191,-0.0117902495,-1.2708889,1.052942,3.8708665,-1.0737104,0.6619907,-1.2197771,0.2948324,2.1194391,0.66859674,0.53217155,0.57762146,-0.22883022,-1.4507457,0.41493458
