"","S001","S002","S003","S004","S005","S006","S007","S008","S009","S010","S011","S012","S013","S014","S015","S016","S017","S018","S019","S020","S021","S022","S023","S024","S025","S026","S027","S028","S029","S030","S031","S032","S033","S034","S035","S036","S037","S038","S039","S040","S041","S042","S043","S044","S045","S046","S047","S048","S049","S050","S051","S052","S053","S054","S055","S056","S057","S058","S059","S060","S061","S062","S063","S064","S065","S066","S067","S068","S069","S070","S071","S072","S073","S074","S075","S076","S077","S078","S079","S080","S081","S082","S083","S084","S085","S086","S087","S088","S089","S090","S091","S092","S093","S094","S095","S096","S097","S098","S099","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120"
"Gene00020",17,19,15,21,13,26,53,24,24,16,11,11,22,20,31,27,11,21,22,22,20,16,21,15,12,20,21,31,24,47,27,26,59,30,50,20,31,37,27,28,33,37,29,24,20,32,35,30,27,67,24,34,37,25,23,34,19,30,36,30,22,11,14,22,26,34,26,50,37,15,28,18,17,31,43,25,24,22,24,31,22,19,21,30,30,33,26,23,19,23,11,26,13,17,23,35,16,20,11,26,30,11,14,17,28,19,21,20,11,35,16,17,10,27,13,18,24,19,18,19
"Gene00021",5,5,4,1,3,3,10,1,5,1,2,4,0,0,0,2,4,5,8,1,2,7,4,1,3,4,4,2,2,3,2,10,9,1,8,7,5,4,4,7,4,3,2,6,4,4,5,4,5,5,1,4,2,1,3,2,4,2,2,3,1,6,3,2,7,5,2,2,3,1,2,2,2,4,2,4,2,3,2,5,3,4,0,2,1,3,4,2,2,6,2,2,1,1,2,8,7,5,5,3,4,6,16,8,3,6,6,2,3,2,7,5,7,1,0,5,2,3,1,10
"Gene00022",2,1,1,3,4,1,1,0,0,3,0,1,3,0,3,1,0,3,2,0,1,5,3,2,3,1,1,2,1,2,2,0,0,1,3,0,0,5,3,0,0,2,3,3,2,0,0,2,2,2,3,0,2,1,0,3,0,3,0,3,1,3,2,2,3,0,2,2,3,1,0,1,0,4,3,0,5,4,6,0,3,4,0,2,1,3,4,2,2,3,4,4,1,7,2,4,6,0,3,9,2,2,2,1,2,2,2,0,0,1,1,2,3,3,3,3,2,5,2,1
"Gene00023",3,3,2,0,1,5,2,3,1,1,1,1,1,1,0,0,5,2,4,2,0,2,1,1,3,3,4,0,1,2,6,2,2,3,5,3,0,1,2,1,4,5,4,2,0,2,1,6,3,5,0,4,3,2,3,1,0,2,0,6,5,4,1,1,1,1,5,3,8,2,4,4,4,2,7,7,0,5,5,1,5,2,0,2,1,5,0,0,1,8,7,3,3,7,2,6,5,4,5,1,1,5,5,6,5,7,3,4,0,3,5,3,1,4,2,5,5,1,6,6
"Gene00024",5,6,12,10,5,4,15,9,6,4,1,4,14,3,9,6,5,10,9,6,9,4,21,6,6,3,11,14,6,12,11,8,1,4,2,1,1,4,4,4,4,2,0,11,6,6,5,5,5,2,2,2,3,6,5,3,2,5,6,8,5,5,6,5,3,4,3,3,2,2,3,4,4,1,7,4,1,8,5,4,7,8,3,5,6,3,4,3,2,3,7,3,5,3,5,7,4,3,4,6,4,18,10,2,7,7,13,1,10,4,1,17,3,8,3,8,3,10,1,11
"Gene00025",1,1,1,1,0,4,0,3,2,1,3,2,0,0,1,0,1,1,0,2,0,1,2,0,4,2,0,4,1,1,4,3,3,1,8,3,2,2,3,0,0,0,2,2,2,1,1,1,2,1,0,3,0,2,3,6,4,1,4,1,6,1,1,2,2,2,2,4,2,3,1,3,3,4,1,7,5,6,5,3,2,1,3,0,3,3,4,1,1,5,2,1,0,2,3,0,1,0,0,2,0,2,1,0,0,0,3,1,1,1,1,0,0,1,0,0,2,0,1,2
"Gene00026",0,0,0,0,2,0,0,0,1,0,1,0,2,1,0,0,1,1,0,0,0,2,1,0,2,0,0,1,1,0,1,0,1,3,0,2,1,0,4,2,0,0,0,1,0,3,0,1,0,0,0,1,0,1,0,1,0,1,1,2,3,0,1,0,1,0,0,2,0,1,1,0,1,0,4,1,0,0,1,0,2,1,0,1,0,2,0,3,1,2,0,1,2,0,2,2,5,0,0,1,2,3,3,1,2,1,1,1,3,0,2,0,0,0,0,1,2,1,1,0
"Gene00027",9,2,4,2,7,2,5,2,0,3,3,4,5,8,12,12,3,8,2,5,6,3,2,5,4,0,3,3,1,2,9,5,6,4,15,8,8,4,4,7,7,1,1,16,5,3,14,7,7,8,7,9,13,5,2,11,10,7,4,10,5,0,5,5,2,0,5,3,3,5,4,7,6,11,3,5,2,1,9,0,7,0,5,3,5,7,1,3,4,7,2,5,2,15,5,8,1,3,4,11,4,5,20,4,6,5,9,1,2,5,8,2,0,8,7,8,1,9,3,12
"Gene00028",1,1,2,1,1,1,0,4,3,3,1,3,2,2,2,1,1,0,1,2,2,0,0,2,3,0,1,1,0,0,1,2,1,1,0,2,1,1,1,3,1,1,3,0,0,0,2,1,2,0,0,2,0,1,0,2,1,2,0,3,5,1,2,1,3,3,1,2,1,4,1,4,1,4,5,3,4,0,3,1,2,3,4,5,4,1,1,1,1,2,3,0,1,1,2,2,3,1,0,0,0,1,1,2,0,3,1,1,1,1,0,3,2,0,0,0,1,2,0,1
"Gene00029",7,5,4,7,2,2,9,7,7,1,4,3,6,4,8,22,3,5,8,13,3,5,9,6,4,11,5,9,8,6,4,2,6,2,0,1,3,8,0,5,4,5,1,7,4,3,1,7,1,2,2,5,3,9,4,1,3,6,6,7,0,2,2,5,2,3,0,8,1,5,1,3,3,3,3,4,1,9,5,3,2,2,1,5,7,6,2,4,1,4,3,4,9,7,6,3,4,1,4,2,3,5,4,5,7,8,2,2,3,3,3,5,4,1,2,7,3,4,5,0
"Gene00030",2,0,8,0,2,1,5,2,0,2,0,0,0,0,2,1,0,3,0,1,1,1,1,2,1,1,1,1,3,3,1,1,4,0,3,2,2,3,1,1,1,2,0,3,3,0,2,3,0,0,0,1,1,2,1,1,0,1,0,1,1,6,5,1,0,3,2,0,2,0,3,0,1,5,3,3,1,2,4,1,6,4,2,2,3,4,6,3,3,4,1,0,1,3,0,1,2,0,0,2,1,1,0,3,1,0,1,4,2,1,2,1,0,2,0,2,2,3,0,1
"Gene00031",8,4,16,3,9,3,12,9,1,9,4,19,16,16,6,11,11,7,14,8,1,9,6,10,5,5,18,15,3,11,14,9,6,5,6,2,8,14,8,6,8,8,8,18,9,12,13,15,24,8,4,6,13,6,5,10,10,8,7,15,3,8,6,7,9,9,4,7,6,4,6,13,5,4,15,9,7,2,9,5,4,7,4,8,16,8,6,7,6,10,9,3,4,6,2,14,7,4,1,3,1,2,1,3,5,4,1,4,4,5,10,8,3,7,6,1,18,2,6,8
"Gene00032",0,1,0,4,0,2,3,3,0,2,1,3,3,1,1,6,1,0,2,1,5,2,0,1,0,0,3,2,1,4,2,0,4,2,3,0,2,0,0,0,1,3,0,1,0,2,4,2,3,3,7,1,2,1,3,2,2,4,0,5,4,4,5,0,1,2,4,5,2,3,2,4,1,6,2,0,1,1,8,0,2,2,2,3,5,5,2,3,0,3,2,2,3,0,5,1,2,0,5,2,2,2,0,3,2,3,2,0,0,2,1,3,2,3,2,4,6,3,0,2
"Gene00033",1,3,1,1,0,1,3,0,0,2,0,2,0,0,0,0,3,1,2,2,1,3,2,1,1,1,2,0,3,1,3,2,2,0,1,0,0,1,4,4,2,1,1,3,1,2,1,3,1,0,0,0,2,2,3,0,3,1,0,1,1,0,2,4,2,1,0,0,5,2,0,0,3,0,6,1,1,1,3,2,3,2,2,1,0,3,1,1,1,1,1,0,1,4,1,2,2,1,2,0,1,0,3,0,2,1,1,3,3,3,2,1,1,2,2,3,1,0,3,1
"Gene00034",2,2,4,0,2,4,2,3,4,4,2,8,0,4,0,5,4,1,7,0,2,1,2,2,1,0,2,4,5,2,3,5,0,2,3,6,1,4,1,5,0,2,0,2,0,3,1,7,2,3,4,0,7,0,1,1,3,2,2,0,2,2,0,4,2,2,0,0,0,0,2,0,0,1,2,0,1,2,1,1,2,2,0,2,1,0,2,3,1,4,3,1,1,4,2,2,0,0,0,0,4,4,4,2,2,3,3,0,3,1,2,4,5,2,3,5,1,3,1,1
"Gene00035",2,1,0,0,1,0,0,0,1,1,0,2,2,1,1,1,0,0,0,2,2,1,0,1,0,1,1,1,8,0,2,3,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,2,1,1,1,0,0,1,2,1,0,0,3,3,2,2,1,0,1,0,3,0,2,1,0,2,0,1,3,2,2,0,1,1,0,1,0,0,4,0,1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,1,0,0,3,3
"Gene00036",1,0,2,0,2,1,0,1,0,0,0,1,0,0,0,2,1,2,3,0,1,4,2,0,1,1,1,0,0,4,1,1,2,0,0,2,1,3,2,1,1,1,1,2,0,1,2,2,1,0,2,2,0,1,0,1,1,0,1,0,0,0,0,2,2,0,4,3,0,1,2,1,2,2,3,1,0,2,0,1,4,1,1,1,1,2,2,0,0,0,3,0,4,3,0,2,2,0,0,2,2,1,0,1,1,0,4,0,2,2,1,0,1,3,0,0,1,0,0,0
"Gene00037",1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,4,0,1,1,0,1,0,1,1,1,1,0,1,2,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0,2,1,0,0,0,0,1,0,3,0,0,0,1,0,0,1
"Gene00038",1,2,2,0,3,2,3,3,2,1,2,0,0,3,2,3,1,1,5,0,1,0,4,0,0,1,0,3,0,5,5,1,2,2,1,3,3,3,3,2,3,6,0,1,1,1,3,2,1,1,0,3,2,1,2,2,0,3,1,2,0,2,2,2,2,2,1,1,4,0,0,3,1,3,2,1,1,5,3,2,0,1,2,3,1,3,3,4,0,4,0,2,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,2,1,1,2,2,0,0,0,1,0,0,1,1
"Gene00039",2,3,2,3,7,4,11,6,3,6,3,8,3,5,1,11,1,2,3,2,2,7,4,7,5,5,7,7,1,7,2,5,2,6,4,6,1,6,3,6,1,2,0,12,1,3,2,11,1,5,2,5,2,6,1,0,1,4,2,13,5,4,2,9,1,5,1,8,0,8,2,3,1,9,5,11,2,10,2,8,2,13,5,4,2,8,6,5,4,14,0,4,1,5,1,9,4,3,3,2,2,10,2,8,1,8,3,5,1,6,3,6,1,10,2,6,0,8,1,4
"Gene00040",2,5,1,1,1,1,5,1,3,2,0,0,3,0,1,2,2,2,0,1,2,0,1,2,0,3,0,6,3,2,1,3,4,1,5,0,3,5,7,2,7,1,2,6,4,2,9,1,0,2,6,1,4,4,4,1,1,5,3,4,1,0,2,1,1,0,1,1,1,0,0,0,0,1,2,0,0,3,1,1,4,0,0,1,4,3,2,1,0,0,3,0,1,0,0,2,5,2,1,0,1,0,0,1,0,1,1,2,1,3,2,0,2,2,0,2,1,2,1,0
"Gene00041",12,9,19,9,10,11,23,17,15,17,9,14,8,18,9,17,14,12,15,10,9,19,13,14,11,12,16,12,16,30,6,4,22,9,6,10,8,5,4,6,8,14,7,11,3,12,12,9,4,10,7,6,3,5,7,2,6,9,8,6,20,8,20,13,12,4,10,17,17,15,9,10,11,9,13,9,10,18,10,9,12,14,12,25,16,10,13,7,11,16,11,17,16,14,2,16,5,12,11,6,7,9,20,7,12,16,19,7,5,9,5,16,9,8,11,16,11,8,11,11
"Gene00042",0,1,1,2,1,2,4,0,0,1,0,1,2,2,1,0,0,0,3,2,0,3,0,1,0,2,0,0,0,1,3,3,4,1,3,1,1,5,1,3,1,6,1,1,3,2,2,1,2,3,1,2,4,3,1,1,2,0,0,2,0,2,2,3,0,1,1,1,1,2,0,0,0,4,2,0,1,2,2,0,0,1,1,2,3,3,2,1,0,2,0,2,2,0,1,6,2,0,0,0,0,5,0,2,1,0,0,1,2,3,0,2,0,1,0,1,0,1,0,3
"Gene00043",3,4,2,0,1,0,4,0,0,0,1,1,2,3,2,3,1,2,1,4,0,1,3,2,1,0,0,2,1,0,1,1,4,0,2,2,0,3,0,2,0,2,1,2,0,1,0,3,0,0,3,0,2,0,0,0,1,3,1,1,0,1,3,1,0,1,3,3,0,2,3,0,1,1,3,0,1,4,3,1,1,5,1,1,0,2,4,2,1,2,1,0,0,1,0,2,1,1,2,1,1,0,1,2,2,1,1,0,1,2,2,0,2,5,0,2,0,0,1,0
"Gene00044",3,4,0,1,4,5,2,5,1,4,2,1,2,2,4,1,6,1,7,7,3,0,1,2,3,3,2,3,2,2,0,3,5,4,6,0,3,1,2,0,3,6,2,2,0,2,1,3,3,1,1,3,2,3,1,1,4,3,0,2,4,1,1,4,2,6,4,5,4,0,3,1,0,5,7,2,6,4,8,1,3,7,2,7,0,6,8,3,0,2,0,4,1,0,0,3,1,0,0,3,1,4,2,0,2,0,0,5,1,2,1,4,0,4,1,4,1,2,2,1
"Gene00045",2,4,0,1,2,1,4,3,1,2,0,0,0,1,2,0,1,1,1,1,1,1,1,2,0,0,1,3,3,3,0,0,1,1,1,1,0,1,1,2,1,0,0,0,0,1,2,0,1,1,4,0,1,1,1,2,0,1,1,1,1,2,1,2,2,1,5,1,1,0,1,2,2,0,4,4,0,1,1,3,1,2,1,3,2,1,1,1,2,1,2,0,3,0,3,5,3,0,0,2,1,5,1,6,4,2,4,3,3,3,2,1,1,4,2,1,1,1,0,3
"Gene00046",0,2,2,3,1,1,1,1,2,2,0,0,1,1,4,1,1,3,1,2,1,2,2,2,4,2,2,2,3,0,6,2,3,0,1,2,0,1,0,3,1,1,2,1,1,1,1,3,2,0,2,1,0,0,0,1,2,0,2,0,1,1,4,1,1,3,0,3,2,0,0,0,1,1,4,2,0,0,1,3,2,4,1,1,1,0,1,0,0,4,1,2,2,2,0,1,0,2,0,2,1,0,1,3,2,0,0,0,0,1,0,0,1,1,0,0,0,2,3,2
"Gene00047",1,3,2,1,0,1,1,1,1,1,0,0,4,2,0,0,1,1,6,1,2,1,0,0,0,1,2,0,3,3,0,0,1,1,2,0,0,1,2,0,0,0,1,1,0,0,1,1,1,0,0,0,3,2,0,0,1,2,4,0,1,1,3,1,2,0,0,0,1,1,3,2,2,1,2,0,2,1,0,0,2,4,1,4,0,5,1,2,0,0,1,0,1,1,2,0,2,1,0,0,1,0,1,0,1,0,1,0,0,3,1,1,0,0,0,2,4,2,1,0
"Gene00048",0,2,2,2,1,2,0,0,1,3,0,3,1,3,0,1,3,0,1,1,1,0,2,0,2,1,2,2,2,2,1,0,1,1,3,1,3,1,0,3,3,1,0,2,3,2,0,4,0,0,1,1,1,0,1,0,0,2,1,0,2,1,5,1,2,1,1,3,2,5,1,2,1,0,2,1,0,0,2,0,1,1,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,3,0,3,0,2,2,0,0,2,2,0,1,0,1,0,0
"Gene00049",0,1,2,4,0,3,4,0,1,0,1,1,5,0,0,4,1,0,2,2,1,0,4,1,2,1,2,2,5,2,4,4,6,1,4,2,5,2,4,3,4,1,4,4,5,2,5,4,2,4,2,2,1,0,4,2,2,0,2,4,1,0,1,1,1,0,0,2,2,2,1,3,1,3,2,1,1,2,6,1,2,3,2,1,1,1,1,2,0,0,1,1,2,1,1,2,3,2,0,1,1,0,0,0,6,2,1,3,2,1,0,0,2,3,3,1,0,0,0,3
"Gene00050",5,0,1,3,2,0,1,0,0,3,2,0,0,2,1,5,3,2,3,1,2,1,3,0,2,1,0,2,4,0,4,0,5,4,5,3,4,8,1,2,4,5,3,3,4,0,8,6,4,3,1,3,3,2,2,1,1,5,7,3,2,0,0,1,1,3,1,1,3,1,1,1,1,0,1,3,2,2,1,3,1,2,0,1,1,1,1,1,0,2,1,3,4,7,2,0,1,0,3,0,1,2,2,1,1,1,2,2,3,1,2,4,1,0,0,2,1,3,2,1
"Gene00051",1,4,1,3,1,0,2,0,1,0,2,2,1,1,1,3,1,4,1,3,3,0,0,2,1,1,3,0,3,3,0,2,2,1,1,1,1,0,0,0,2,2,1,0,0,1,2,0,1,2,0,1,2,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,2,2,0,0,0,4,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,2,1,0,1,2,0,0,2,1,0,2,2,0,0,1,0,2,2,1,1,1,1,0,1,0,4,0
"Gene00052",2,4,1,0,2,3,3,4,0,0,0,2,3,2,3,0,0,2,3,1,3,2,5,0,2,4,2,4,2,3,5,2,11,4,2,1,2,2,1,8,2,0,4,2,4,3,1,2,1,0,1,4,1,7,0,1,1,0,1,0,2,1,0,2,2,1,2,1,0,0,1,8,0,0,3,0,1,1,6,3,1,0,1,2,1,0,0,1,2,0,4,1,1,2,1,0,3,1,1,1,4,0,1,4,0,1,0,0,2,2,3,0,2,1,2,1,1,1,1,0
"Gene00053",2,2,1,1,3,0,5,2,0,0,1,2,3,2,3,1,1,1,1,3,0,1,1,1,1,1,2,1,0,0,1,0,0,1,2,1,2,0,1,2,1,2,1,0,1,1,0,3,1,0,1,3,1,2,0,0,0,7,1,0,3,1,3,1,1,0,0,1,1,0,0,3,3,0,0,1,1,1,0,0,7,1,0,1,1,3,2,2,2,5,0,2,3,0,1,1,1,1,1,0,2,2,2,0,0,3,3,2,1,1,2,3,1,3,1,2,0,1,1,1
