,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24
Sample_36,-1.8064021,-2.1478045,-3.0012152,0.10889387,2.3072271,-0.6232377,2.813688,0.94781333,-0.30459872,0.6616406,1.4569399,-0.17382967,0.17003411,-2.4877453,0.20510924,-23.003094,-0.025680631,3.2016234,0.6656319,2.4172547,0.25333184,-0.0031241179,0.6422379,0.79249686
Sample_37,1.0091252,-1.668416,-2.9964995,-0.18141949,3.1266024,0.49447882,2.5593264,2.254519,0.16487429,0.4592634,2.6637297,-1.0312734,3.2662501,-1.7462277,0.4024092,4.438746,0.66505253,1.2902327,-2.6970272,2.182024,-0.09180391,-0.078311205,-4.1960955,2.0398343
Sample_38,-0.5519115,-3.2935448,-3.5311093,0.27169794,2.3882155,0.4823122,3.6286569,1.2698298,-0.6320736,-0.17011678,1.5416389,-2.0105727,-1.2775707,-3.8859112,1.3753136,46.887375,0.21211861,-1.7860085,2.0058177,2.3404984,-0.31295764,1.1482863,-3.1473987,0.17303348
Sample_39,0.14933789,-2.258448,-3.491174,1.1720587,1.9347954,1.296397,1.7163303,0.3968606,-0.35623798,-0.44870827,2.091147,-1.6250114,0.53802496,-1.1669254,0.7419276,21.444353,0.55312896,-0.6964916,2.3233938,1.6292896,-0.8935879,-0.88560176,1.0749819,1.8278615
Sample_40,-0.36783525,-3.8317318,-3.5725136,2.140504,1.6841989,-1.1501789,3.698794,1.1684415,0.5436396,-2.1883454,1.568914,-2.6971297,-1.6955385,-1.7934568,-3.9755144,-0.3677051,-1.270069,2.6543474,2.8472586,1.5028555,-0.24657647,1.132271,-1.8627777,1.5419258
Sample_41,-2.574602,-1.2769309,-2.3238096,0.8665451,2.4136262,-0.3251652,4.0564985,0.728727,0.052078567,-0.21747094,0.5897517,-2.6388505,1.3948251,-2.5106351,1.0156981,-12.656722,-0.91609603,2.302902,-0.9440837,1.0458078,-0.9460951,0.015145659,-1.9097033,0.4937998
Sample_42,0.9900433,-2.4588246,-2.8243246,1.2927525,2.0081177,3.1303945,0.58138907,1.1124957,-0.44350767,-1.093477,0.5707067,-0.09573424,1.4479773,-3.7630844,-2.9168649,-10.33983,0.8787284,-0.65818024,-0.11990321,2.0206733,-0.6248096,1.3088986,-2.3418233,1.2992909
Sample_43,1.6443791,-1.4042556,-3.0220923,1.8502178,0.76783097,3.1665776,0.46259832,1.0441206,-1.6718949,0.46575505,2.1348162,-1.2095726,1.8081969,-1.0917965,-3.830484,46.225937,0.8130398,2.4571686,0.38061458,2.1186488,-0.10042632,1.265452,-1.2305851,0.6695769
Sample_44,0.2776177,-4.0641804,-2.9577274,1.0565648,2.185405,-0.33932716,2.6970048,1.8838043,-0.3997075,0.32752404,0.9674455,-1.9820924,0.6492932,0.36479926,-1.8206079,-88.279205,-0.5350478,1.8428116,-4.1180325,1.6737509,0.43300956,1.0226712,-1.6951075,1.3905374
Sample_45,-3.2468648,-1.3172318,-3.7565722,0.24780893,2.8228962,-0.36063957,3.2257757,1.0585798,1.6681044,0.8938332,2.035287,-1.0208142,2.843339,-6.3036633,-1.01104,-36.607952,0.321899,2.815541,3.5485725,1.5956957,-0.94945616,-0.101272225,-3.1679914,-1.195002
Sample_46,3.4601939,-3.8182397,-3.0700924,-0.463596,2.1300783,0.9388474,1.3008225,1.9630276,-0.14038497,-0.01903075,1.4813008,-2.5508623,0.33360958,2.6248817,1.1931138,-0.34889913,-0.033222407,1.066121,0.8880251,1.2591431,0.13715374,0.7337609,-1.710663,-1.2285408
Sample_47,-3.1260865,-1.654633,-4.324846,2.0021813,3.7117875,-0.8748383,5.7530155,1.1733913,-1.874418,-0.933249,1.5738554,0.46914208,0.7849686,-2.2386813,-0.8329171,5.721849,0.34777063,1.2661153,2.2458267,1.2341372,0.47781524,0.84775877,0.96426284,0.22289252
Sample_48,0.07778458,-4.304735,-2.5703392,1.6750312,2.6068585,2.028954,6.1401243,1.0609118,-0.33643815,0.5932492,1.1567125,-2.720025,1.0206515,-1.0669773,-1.6023703,22.276354,1.062918,-0.28062272,2.0463228,2.4412363,0.46020058,0.9795178,-3.2518866,0.7841751
Sample_49,-0.039184738,-2.5874858,-3.4010582,1.0912567,3.2918568,-2.080411,4.4742613,0.72951204,0.08271483,-0.9552852,1.6222484,-2.8624156,1.6200602,-2.9610524,-4.0342646,49.31283,1.1121964,-0.35220563,2.5334525,1.6173861,-0.25840142,0.24260217,-4.293544,1.198964
Sample_50,1.0509082,-3.5052314,-2.8562026,1.8355421,0.7790351,-0.83704627,3.7694128,0.43659228,0.4523944,0.74386895,1.3541657,-1.7912407,0.17790157,-0.55134743,-2.5396283,8.2385645,0.494325,-0.74831116,1.4365842,1.112205,-0.20209102,2.3510485,-1.6889621,0.5291978
Sample_51,-0.5572766,-2.1846693,-2.646297,0.36883658,2.07291,2.3481317,-1.1755974,0.7566451,0.72458005,-0.7743128,1.3851824,-2.1406522,-1.0118843,0.37255204,-1.3852112,-7.124507,0.057200402,-1.6207132,4.779994,2.0273564,1.1118029,1.9513023,-1.26896,0.7791935
Sample_52,-2.7760324,-3.0288134,-3.9193292,1.6356305,1.8110058,0.18877131,1.150322,1.8322212,-0.14429273,-1.376109,2.0959198,-0.50657165,1.8047972,-4.596906,-1.5457132,-39.807262,0.60584414,1.7128873,1.8988231,1.1109109,0.77652013,1.7582593,1.3128276,1.0511509
Sample_53,0.55422014,-0.42022455,-3.4257567,0.77080584,1.8100567,-0.52651346,-2.893209,0.61416423,0.1534589,0.9452211,0.48641527,-1.2858896,0.996142,0.36476636,0.9652133,11.89532,-0.08969608,1.1522942,3.4213195,1.7955526,-0.34214067,2.0809793,-2.114071,0.4873016
Sample_54,-0.7403181,-2.4374187,-3.5206425,1.3978933,2.433293,-0.81839085,2.7662196,1.9306183,0.18074226,1.5010536,1.109447,-3.1155314,0.25256515,-6.125029,-1.8486766,-4.9551888,0.3495809,-0.44629204,0.270406,1.1010575,-0.8264104,2.5129347,-2.1163821,1.2253206
Sample_55,1.251728,-2.1545238,-3.4530654,1.2360641,3.9849823,-0.76064104,0.9188727,0.29839587,0.38160336,-0.11680293,1.3565371,-1.8111459,1.3325808,1.6201195,0.6640543,22.359978,1.1421963,-0.7075514,1.3591552,3.062068,0.19012727,0.5430756,-2.3571165,1.5861151
Sample_56,-2.6866283,-4.2564588,-3.1549137,2.430272,2.3694339,0.79543823,0.85847974,1.200437,0.66466963,-1.5332985,1.8621042,-2.1332462,2.178659,2.5196245,-2.388387,4.307353,-0.9283521,3.284828,2.8960705,1.5861968,0.46186966,2.5009894,1.3975213,1.1045592
Sample_57,-2.0528076,-2.7184708,-3.294389,1.3363665,3.2835855,-2.1971204,0.46912408,1.2741871,0.17161474,-0.12692979,0.30871785,-1.3444098,-0.7343815,-2.1778088,0.76587903,-6.504075,0.52148926,-1.4111655,2.6793694,0.3370428,-1.052101,0.03921187,2.263976,1.3560224
Sample_58,1.8707002,-1.890271,-3.2961886,2.2484217,1.8057039,-1.4169163,1.8951825,1.1851645,-0.19623865,-2.86981,1.2065809,-1.3352184,1.6263779,-5.056047,-2.360518,17.127768,0.44429287,3.2302957,0.7759452,1.2648053,-0.027695552,1.2389499,-4.225762,0.7322191
Sample_59,-0.3246201,-3.4872794,-2.9614754,3.0281472,1.449479,-0.6093635,0.0703907,1.0681134,0.36028162,0.5199468,2.364389,-1.0116775,3.3905811,1.7714053,-2.7811623,5.114204,1.7639333,1.8279122,-0.77533144,2.1236234,-0.540376,1.0332314,-3.2204216,0.81570923
Sample_60,0.9653163,-0.016048431,-3.5126934,1.0574759,2.6826868,0.28347865,3.213774,1.5210801,0.29461136,-1.3562181,1.7249489,-0.9201084,1.7746935,-1.6773417,-1.2815073,-41.31815,0.5773141,1.0363455,0.70105934,1.3898466,-0.65820485,-0.28795946,2.9645324,1.6553239
Sample_61,-0.5215955,-3.4506264,-3.2357717,1.739126,1.9999738,-0.29009843,4.042262,0.8010987,-0.7260098,-3.21599,0.9661001,-2.1674633,1.0692492,-1.2721456,-1.2203733,25.959648,1.0352453,-0.81975615,6.389664,0.3931905,-0.8102836,-0.1723398,-0.8127324,1.071685
Sample_62,2.3329651,0.5022521,-2.4749467,0.65078413,1.7880838,-1.2244408,1.6180284,0.20487273,-0.5129188,0.48598757,1.5243824,-1.4070576,-0.69891524,-2.1544824,-5.5815496,-3.4283433,0.06355554,0.5399662,1.9852026,0.59001714,0.113288544,2.1975844,1.8922358,-0.07064867
Sample_63,0.23291177,-1.9267584,-3.3989305,0.62304187,1.5822439,-1.2754545,1.9929703,0.19669479,-0.10539378,-1.8461478,0.45580757,-1.2918838,3.2511451,2.976953,1.2215471,18.726141,-0.64702624,0.7517192,-1.3070618,2.5193772,0.30487746,0.40826738,2.7044244,0.9001941
Sample_64,-0.2324068,-3.3926191,-3.308724,1.6115453,2.9927616,0.770834,4.5302076,0.48317415,1.450829,-1.6124852,1.499549,-2.5566354,1.5570018,-6.29912,-0.062678814,8.328026,0.58374405,1.3065177,0.34808415,2.4671311,-0.9014837,1.4169711,-0.55579853,0.084106684
Sample_65,-0.9885475,-1.8055913,-2.6597867,2.0700912,2.293558,-0.8691423,3.5055192,1.1341492,0.6388578,-1.5609989,2.739254,-0.9817041,-0.023863792,-0.6788957,-1.3496728,12.735463,0.26162648,1.9039336,1.6296039,1.5145954,-0.7475466,0.5862539,1.1388183,0.04446149
Sample_66,0.57848763,-1.3340828,-1.6415294,2.4395833,2.7866557,0.6657047,2.8785448,1.9453474,0.77297705,-0.2812751,-0.06857228,-3.1069427,1.5892421,-1.112586,-4.1282406,21.819778,0.5251875,1.3897744,0.5450643,1.1399112,0.96923983,1.6935403,-6.5180387,0.8618797
Sample_67,-1.6232092,-3.8435242,-3.2581117,0.65072364,1.5991042,0.6576915,3.6317925,1.3459642,0.19742823,1.4944665,2.2058818,-2.136384,-0.6214323,-2.7294466,-2.9383636,20.73271,-0.3507587,-0.4599514,0.23145032,2.1501117,-0.92985237,-0.8882648,-1.4231118,0.3448298
Sample_68,2.6583858,-4.942875,-2.5884876,2.2185395,2.19017,-0.79162747,0.82182384,1.8934319,1.102078,-0.78885585,1.3572804,-2.7343817,1.4206104,-4.0027947,-3.008516,59.149906,-0.32055074,3.0441532,1.2150987,1.0272677,-0.03965926,0.8483039,-6.030877,1.9378747
Sample_69,0.49887076,-4.3982067,-2.5636113,0.78521866,2.235231,0.28538635,5.588457,1.2013361,-0.8934143,-0.30791268,0.41419494,-1.0572275,2.1721385,-3.939417,-2.5855014,-35.229816,0.7303686,1.1663554,1.2033681,1.9891871,-0.17512733,2.7513435,1.0543914,1.5830514
Sample_70,0.48331553,-3.0605855,-2.5726395,0.612619,2.2915802,-1.498733,3.3191607,0.68519086,-0.44019848,-0.5605716,1.3517228,-1.3206382,2.7594233,-1.0251796,-4.252103,37.38723,0.11826071,0.7314116,4.5209994,2.0194077,-0.23091483,1.2064565,2.6342561,1.004007
Sample_71,-1.1077498,0.02768159,-3.2677906,2.0765684,2.901841,-0.20978665,1.4990957,1.4531188,0.16001377,0.296672,1.596594,-1.613038,-0.6261403,-2.7612906,-2.5085058,1.8255303,1.5264301,1.2954183,-1.6122504,1.9753287,0.028981244,1.4432151,-0.1477077,0.4326148
Sample_72,2.223556,-0.6226392,-2.7797465,1.181281,1.1080624,-0.53965175,3.159568,1.2535425,0.3384542,-1.0827814,0.8924391,-1.9941804,1.0574887,-0.9022238,-1.7941194,-33.346104,0.81928563,1.6849223,1.0956885,1.391402,-0.8172688,2.1558957,-0.6446945,-0.15197599
Sample_73,1.9742138,-3.2389464,-2.4552639,1.0247574,3.2648444,1.0047125,1.5246705,1.5218222,0.5233021,-0.46321166,1.6573566,-0.16797972,-0.06128621,-1.7416492,-3.707106,-11.04405,0.8111063,4.20168,-1.868569,1.7476724,-0.07699217,1.1065121,-1.2012439,1.1624258
Sample_74,-1.0054817,-3.5820808,-3.3246589,1.6498791,3.7300203,0.48306528,1.9604847,1.6960711,0.22468054,-0.0006430447,0.9828714,-1.4567225,0.19940752,-1.2528398,0.5189774,29.635754,0.55327463,0.47590327,0.43378884,0.7343615,0.012334295,1.6986368,-4.292057,-0.4836005
Sample_75,2.6145904,-3.3246098,-2.9790568,0.9534372,2.206556,1.2989503,3.3275213,0.6016662,0.2727304,0.22685534,1.9463682,-0.3319049,0.62806267,-0.8971592,-4.6407337,-49.62688,0.67415655,2.0317013,1.5181458,0.9017604,-0.6887528,1.3293564,-1.781683,1.3504324
Sample_76,-0.64923364,-4.681918,-2.067806,2.975408,2.1481175,-1.460339,3.062491,2.0223126,-0.123002335,-0.639138,1.0223069,-1.005177,1.4512407,-0.7848469,-1.2092003,26.045116,1.8318835,-0.3113814,-2.1295066,1.5518594,0.017108046,2.0353317,-4.142177,1.1864924
Sample_77,0.691088,-2.1466713,-2.7818751,1.1549401,3.740188,1.087282,5.690242,1.5119398,-0.83800894,-0.13285626,0.8858941,-2.0968215,0.6178478,0.41453385,0.36835086,12.720175,1.3199636,-2.3998322,-1.4611921,0.5404018,0.5875027,1.4691969,-3.1108823,2.9194324
Sample_78,-1.7580881,-2.196346,-2.4600325,0.9048048,2.2140427,-0.25928763,1.9808605,1.2864505,-1.3537569,-0.8913294,0.21607053,-1.1296978,2.480897,3.862503,-3.9412272,1.3934981,0.16335873,2.173878,-1.5350755,1.9549865,-1.3335909,-0.5635586,1.931906,0.3757497
Sample_79,-4.0000734,-1.6385512,-3.3496442,1.5966668,2.1182797,1.3158058,4.1526566,1.5942899,-0.21106891,0.14784855,1.3766719,-2.1419554,-0.9923234,-0.3663677,0.22187114,23.421717,-0.050748497,1.5450287,2.8441768,0.87392014,0.25405952,3.2944021,0.10378003,-0.2007407
Sample_80,0.6737344,-3.8538835,-3.6730037,1.0442144,1.7219806,1.7538359,2.613856,1.6236196,0.36318305,-0.42419228,1.4217901,-1.7238624,1.6886194,-6.079563,0.26512975,-12.91278,0.40014303,0.39769465,2.0733614,1.0915327,1.2334764,2.4948235,0.76494765,3.1632714
Sample_81,0.9595599,-1.7043713,-3.3904788,0.7300563,2.575399,0.6063133,1.2726114,1.8630404,1.417268,-0.5537853,0.35232145,-3.0555825,0.9467226,1.7985675,-0.17175007,-19.155611,-0.3763768,0.9366961,2.7810783,3.277588,-0.5615874,1.4680616,-2.4348502,2.007265
Sample_82,0.55644304,-5.0495768,-3.493606,1.5713546,3.319343,-2.3147547,4.4288797,0.7707859,0.34131512,-1.1344138,1.7297984,-1.0228362,0.0016360879,0.51995087,-2.5799985,10.743847,-0.18839693,1.6946837,1.4413762,1.3735316,-0.35245028,2.341461,-1.1537185,0.96399593
Sample_83,2.5905318,-2.5994577,-2.7387688,-0.037272215,2.0229495,1.4871264,4.051752,1.60414,-1.8136005,0.3199786,2.0874321,-1.5776104,-0.18665737,0.44590104,-2.3571706,1.8496299,0.1890132,-0.27681714,0.42313373,2.7146502,-0.98344207,1.5096836,1.0121815,0.36009377
Sample_84,-2.8475542,-2.0681956,-3.1847076,0.05961716,2.4025953,0.8421046,0.7693267,0.8927867,1.3139199,-0.50064707,1.8394495,-0.4237157,0.25279766,0.40026152,-3.4139163,-24.381975,0.20110895,1.0281273,2.176009,0.48953485,0.38383943,0.7767056,-1.080302,1.120604
Sample_85,1.5152476,-0.67082846,-3.3557982,1.3112079,4.298854,-0.60781914,4.8434258,1.6041169,-1.906559,0.086966336,0.39069057,-1.4193294,0.13462758,1.4160725,-0.54742193,-8.567834,0.6464448,-1.2203723,-0.3215757,1.2707844,0.2297908,1.060346,-0.8995744,1.5403696
Sample_86,0.9310792,-2.4348488,-2.8941457,1.373011,1.4439979,-0.7235924,2.4753313,0.8835683,0.52967846,-1.2903662,0.5674954,-0.51690793,1.1620036,-0.88416445,0.8348391,18.621181,0.040702477,-0.2736777,1.9320159,1.3130927,-0.7197466,1.7467271,-2.632318,0.3454162
Sample_87,-4.73388,-1.4911053,-2.5054207,0.93383414,3.474717,0.9878103,2.9020824,1.3063639,-0.25975135,0.016167939,1.2291218,-1.931494,1.4171764,-1.5781341,0.6238154,-18.892174,-0.20779923,3.1298304,4.9960127,2.1457524,-0.6768054,0.691054,0.087691545,1.5236089
Sample_88,-1.7320192,-2.9031322,-2.8256238,1.669868,2.6245816,-0.07176289,2.731814,1.2056221,-0.22636548,-1.4754279,1.4572505,-1.3955408,-1.907542,-2.5280695,-3.013053,75.782074,1.1570185,1.671798,0.9327008,0.62730193,-0.57367563,0.8058108,-4.5926404,1.853711
