sample,batch,condition
Sample_122,Batch2,Tumor
Sample_123,Batch2,Tumor
Sample_124,Batch2,Tumor
Sample_125,Batch1,Tumor
Sample_126,Batch1,Tumor
Sample_127,Batch1,Tumor
Sample_128,Batch1,Normal
Sample_129,Batch1,Normal
Sample_130,Batch2,Tumor
Sample_131,Batch1,Normal
Sample_132,Batch1,Normal
Sample_133,Batch2,Normal
Sample_134,Batch1,Normal
Sample_135,Batch2,Tumor
Sample_136,Batch2,Tumor
Sample_137,Batch2,Normal
Sample_138,Batch2,Normal
Sample_139,Batch1,Tumor
Sample_140,Batch2,Tumor
Sample_141,Batch1,Tumor
Sample_142,Batch1,Normal
Sample_143,Batch1,Tumor
Sample_144,Batch2,Normal
Sample_145,Batch2,Normal
Sample_146,Batch1,Normal
Sample_147,Batch2,Tumor
Sample_148,Batch1,Normal
Sample_149,Batch2,Normal
Sample_150,Batch1,Tumor
Sample_151,Batch1,Tumor
Sample_152,Batch1,Normal
Sample_153,Batch1,Tumor
Sample_154,Batch1,Normal
Sample_155,Batch1,Normal
Sample_156,Batch1,Normal
Sample_157,Batch1,Tumor
Sample_158,Batch2,Tumor
Sample_159,Batch2,Normal
Sample_160,Batch1,Tumor
Sample_161,Batch1,Tumor
Sample_162,Batch1,Normal
Sample_163,Batch1,Tumor
Sample_164,Batch1,Tumor
Sample_165,Batch1,Tumor
Sample_166,Batch1,Tumor
Sample_167,Batch2,Normal
Sample_168,Batch1,Tumor
Sample_169,Batch1,Normal
Sample_170,Batch2,Tumor
Sample_171,Batch1,Normal
Sample_172,Batch2,Normal
Sample_173,Batch1,Tumor
Sample_174,Batch1,Tumor
Sample_175,Batch2,Normal
Sample_176,Batch1,Normal
Sample_177,Batch1,Tumor
Sample_178,Batch1,Tumor
Sample_179,Batch2,Tumor
Sample_180,Batch1,Normal
Sample_181,Batch1,Normal
Sample_182,Batch1,Normal
Sample_183,Batch1,Tumor
Sample_184,Batch1,Normal
Sample_185,Batch2,Normal
Sample_186,Batch1,Tumor
Sample_187,Batch2,Normal
Sample_188,Batch1,Tumor
Sample_189,Batch1,Normal
Sample_190,Batch2,Normal
Sample_191,Batch1,Normal
Sample_192,Batch2,Normal
Sample_193,Batch1,Tumor
Sample_194,Batch2,Normal
Sample_195,Batch1,Tumor
Sample_196,Batch1,Tumor
Sample_197,Batch2,Tumor
Sample_198,Batch1,Normal
Sample_199,Batch2,Tumor
Sample_200,Batch1,Normal
